SMc02793,mlr4488
SMa0723,noHit
SMa0726,noHit
SMa0728,noHit
SMa0731,noHit
SMa0734,noHit
SMa0736,noHit
cspA6,noHit
SMa0739,noHit
SMa0740,noHit
SMa0742,noHit
groEL2,mll8201
groES2,noHit
SMa0747,noHit
SMa0748,noHit
SMa0750,noHit
SMa0751,noHit
SMa0752,noHit
SMa0753,noHit
SMa0754,noHit
nodD2,noHit
SMa0758,noHit
SMa0759,noHit
fixT2,noHit
fixK2,noHit
SMa0763,noHit
fixN2,noHit
fixO2,noHit
fixQ2,noHit
fixP2,noHit
SMa0771,noHit
nodL,mll2768
noeA,noHit
noeB,noHit
SMa0775,noHit
SMa0776,noHit
SMa0779,mll6047
SMa0781,noHit
SMa0783,noHit
SMa0785,noHit
SMa0787,noHit
SMa0789,mll6786
SMa0791,mll4877
SMa0792,noHit
SMa0793,noHit
SMa0794,noHit
SMa0796,noHit
SMa0797,noHit
SMa0799,mll6256
SMa0800,noHit
SMa0802,mll2949
SMa0803,noHit
gabD4,noHit
syrB3,mlr5807
SMa0809,noHit
fixU,msl5852
fdxN,msl8750
nifB,mll5855
nifA,mll5857
fixX,msl5859
fixC,mll5860
fixB,mll5861
fixA,mll5862
SMa0824,noHit
nifH,mlr5905
nifD,mlr5906
nifK,mlr5907
nifE,mlr5908
nifX,mlr5911
SMa0833,noHit
fdxB,mlr5869
SMa0835,noHit
syrA,noHit
nodD3,mll6179
SMa0841,noHit
SMa0846,noHit
SMa0848,noHit
syrM,noHit
SMa0850,noHit
nodH,noHit
nodF,mlr4951
nodE,mlr4953
nodG,noHit
nodP1,noHit
nodQ1,noHit
SMa0861,noHit
nodJ,mlr6166
nodI,mlr6164
nodC,mlr6163
nodB,mlr6175
nodA,mlr8755
nodD1,noHit
SMa0872,noHit
nifN,mlr5909
nodN,noHit
nolG,noHit
nolF,noHit
nodM,noHit
SMa0882,mlr9712
SMa0883,mll9711
SMa0886,noHit
SMa0887,noHit
SMa0888,noHit
SMa0890,noHit
dnaE3,noHit
SMa0894,noHit
SMa0896,noHit
SMa0900,noHit
SMa0903,noHit
SMa0905,noHit
SMa0907,mlr9246
SMa0909,noHit
SMa0911,mlr9705
SMa0914,mlr9707
SMa0917,noHit
SMa0922,mlr6185
traG,noHit
traD,noHit
traC,noHit
traA1,noHit
SMa0937,noHit
SMa0939,noHit
SMa0940,noHit
SMa0941,noHit
SMa0943,mll5471
SMa0945,noHit
SMa0947,noHit
SMa0950,noHit
SMa0951,noHit
SMa0952,noHit
SMa0953,noHit
SMa0955,noHit
SMa0956,mll5149
SMa0958,noHit
SMa0959,noHit
SMa0961,noHit
SMa0964,msl9199
SMa0967,noHit
SMa0969,mlr5913
SMa0972,noHit
SMa0974,noHit
SMa0976,noHit
SMa0977,noHit
ntrR2,mll1670
SMa0983,noHit
SMa0985,noHit
SMa0988,noHit
SMa0990,noHit
SMa0992,noHit
SMa0995,noHit
SMa0997,noHit
SMa0998,noHit
SMa1001,noHit
SMa1002,noHit
SMa1004,noHit
SMa1005,noHit
SMa1007,noHit
SMa1008,noHit
SMa1009,noHit
SMa1010,noHit
SMa1011,noHit
actP,noHit
hmrR,noHit
SMa1016,noHit
SMa1017,noHit
SMa1018,noHit
SMa1021,noHit
SMa1024,noHit
SMa1028,noHit
SMa1029,noHit
SMa1030,noHit
SMa1032,noHit
SMa1033,noHit
SMa1036,noHit
SMa1037,noHit
SMa1038,noHit
SMa1041,noHit
SMa1043,noHit
SMa1045,noHit
cyaE2,noHit
SMa1050,noHit
SMa1052,noHit
SMa1053,mlr2160
SMa1056,mlr2159
SMa1057,mlr2158
SMa1058,noHit
SMa1060,noHit
SMa1062,noHit
SMa1063,noHit
SMa1065,noHit
SMa1067,noHit
SMa1070,noHit
SMa1073,mll6046
SMa1076,noHit
nex18,mll4821
SMa1078,mlr1797
tspO,noHit
SMa1081,noHit
SMa1082,noHit
SMa1084,noHit
SMa1086,mll6611
SMa1087,mlr5325
SMa1089,noHit
SMa1091,noHit
SMa1092,noHit
SMa1093,noHit
SMa1095,noHit
SMa1096,noHit
SMa1097,noHit
SMa1099,noHit
SMa1100,noHit
SMa1101,noHit
cyaP,noHit
SMa1104,noHit
SMa1111,noHit
SMa1113,noHit
SMa1115,noHit
hspC2,noHit
SMa1120,noHit
SMa1122,noHit
SMa1124,noHit
SMa1126,noHit
degP4,noHit
SMa1131,mlr6574
SMa1132,noHit
SMa1134,noHit
SMa1136,noHit
SMa1138,noHit
SMa1139,noHit
SMa1141,mlr6409
SMa1142,noHit
SMa1146,mlr6591
SMa1147,noHit
SMa1149,mlr6594
SMa1151,noHit
SMa1153,noHit
SMa1154,mlr6601
SMa1155,mlr6609
SMa1156,noHit
SMa1158,noHit
SMa1159,noHit
SMa1160,noHit
SMa1161,noHit
SMa1162,noHit
SMa1163,mll6590
SMa1166,mlr9641
SMa1168,mll6586
SMa1169,noHit
SMa1170,noHit
SMa1171,noHit
SMa1172,noHit
SMa1174,noHit
SMa1176,mll6577
SMa1178,noHit
nosR,noHit
nosZ,noHit
nosD,noHit
nosF,noHit
nosY,noHit
nosL,noHit
nosX,noHit
fhp,noHit
SMa1192,noHit
nnrS,noHit
SMa1195,noHit
SMa1197,noHit
SMa1198,mll3323
SMa1200,mll3324
SMa1201,mll3327
SMa1207,noHit
fixS1,msl6623
fixI1,mlr6417
fixH,mll6625
fixG,mll6626
fixP1,mll6628
fixQ1,msr6413
fixO1,mlr6412
fixN1,mll6630
fixM,mll6595
fixK1,mll6578
fixT1,noHit
fixJ,mll6606
fixL,mll6607
SMa1231,noHit
napC,noHit
napB,noHit
napA,noHit
napD,noHit
napF,noHit
napE,noHit
azu1,noHit
nnrR,noHit
nirV,noHit
nirK,noHit
nnrS,noHit
SMa1253,noHit
SMa1255,noHit
SMa1256,noHit
SMa1259,noHit
SMa1261,noHit
SMa1262,noHit
SMa1264,noHit
hemN,mll5815
norD,noHit
norQ,noHit
norB,noHit
norC,noHit
norE,noHit
nnrU,noHit
SMa1285,noHit
SMa1288,noHit
SMa1289,noHit
SMa1291,noHit
SMa1292,noHit
SMa1294,noHit
adhA1,noHit
SMa1297,noHit
SMa1299,noHit
SMa1301,mll3464
virB11,mlr9260
virB10,noHit
virB9,mlr9258
virB8,mlr9256
virB7,noHit
virB6,noHit
virB5,noHit
virB4,mlr9251
virB3,noHit
virB2,noHit
virB1,noHit
SMa1322,noHit
rctA,noHit
SMa1325,noHit
SMa1326,mll8388
SMa1327,mll3776
SMa1328,noHit
SMa1329,mll3393
SMa1331,mlr3390
SMa1332,mlr3388
SMa1334,mlr3387
SMa1337,mll5302
SMa1339,mll5301
SMa1341,mll5300
SMa1344,noHit
SMa1345,mll3378
SMa1347,mlr3367
SMa1349,mlr3366
SMa1351,mlr3365
SMa1353,mlr3364
SMa1354,mll3360
SMa1355,noHit
SMa1356,noHit
SMa1358,mlr7800
SMa1361,msl8039
SMa1362,noHit
SMa1363,noHit
SMa1364,noHit
SMa1365,noHit
SMa1367,noHit
SMa1368,noHit
SMa1370,mll0595
SMa1371,noHit
SMa1374,noHit
SMa1373,noHit
SMa1375,noHit
SMa1377,noHit
SMa1379,noHit
SMa1381,noHit
SMa1386,noHit
SMa1387,noHit
etfA2,noHit
etfB2,noHit
SMa1394,noHit
SMa1397,noHit
SMa1398,noHit
SMa1400,noHit
SMa1403,mll8482
ttuD3,noHit
SMa1408,noHit
SMa1409,noHit
SMa1410,noHit
SMa1413,noHit
SMa1414,noHit
SMa1415,noHit
SMa1417,noHit
SMa1418,noHit
SMa1421,noHit
SMa1424,noHit
SMa1427,noHit
SMa1428,noHit
SMa1430,noHit
SMa1431,mll5435
SMa1434,noHit
SMa1435,noHit
SMa1437,noHit
SMa1438,noHit
SMa1440,noHit
SMa1442,noHit
SMa1445,noHit
SMa1447,noHit
SMa1450,noHit
SMa1452,mlr2803
SMa1454,noHit
SMa1455,mll9650
SMa1456,mll9651
SMa1459,mll5197
SMa1461,noHit
SMa1462,noHit
SMa1465,noHit
SMa1466,noHit
SMa1467,noHit
SMa1471,mll4498
SMa1473,mll4500
SMa1476,mll4501
SMa1478,mll1654
SMa1480,noHit
SMa1483,mll1653
SMa1485,noHit
SMa1487,noHit
SMa1488,noHit
SMa1491,noHit
SMa1493,noHit
SMa1494,noHit
SMa1495,noHit
gst12,noHit
SMa1500,noHit
SMa1501,noHit
SMa1503,noHit
SMa1505,noHit
SMa1507,noHit
SMa1509,noHit
SMa1513,noHit
SMa1514,noHit
SMa1515,noHit
nuoH2,noHit
nuoI2,noHit
SMa1521,noHit
nuoG2,noHit
nuoF2,noHit
nuoE2,noHit
nuoD2,noHit
nuoC2,noHit
nuoB2,noHit
nuoA2,noHit
nuoN2,noHit
nuoM2,noHit
SMa1538,noHit
SMa1539,noHit
SMa1541,noHit
nuoK2,noHit
nuoJ2,noHit
pcm,mlr9350
SMa1548,noHit
SMa1550,mll6762
SMa1552,noHit
SMa1554,noHit
mcpS,noHit
SMa1558,mll9511
cheB2,mll9510
SMa1562,noHit
SMa1564,noHit
cpaF2,noHit
pilA2,noHit
SMa1572,noHit
cpaE2,noHit
cpaB2,noHit
cpaA2,noHit
SMa1579,mll0948
SMa1580,noHit
SMa1582,noHit
cyaF5,mll3276
SMa1585,noHit
syrB2,noHit
eglC,noHit
SMa1589,mlr2224
cyaI3,noHit
SMa1592,noHit
SMa1593,noHit
SMa1594,noHit
SMa1595,noHit
SMa1597,mll7725
SMa1600,mlr3234
SMa1602,noHit
SMa1604,noHit
SMa1606,noHit
SMa1608,noHit
SMa1610,noHit
SMa1612,noHit
SMa1613,noHit
SMa1614,noHit
SMa1615,noHit
SMa1617,mll5958
SMa1619,mll5957
SMa1620,mlr9324
SMa1623,noHit
SMa1625,mll4435
SMa1626,mlr0784
SMa1629,mlr2535
SMa1630,mlr3986
SMa1632,mll2533
SMa1635,noHit
SMa1636,noHit
SMa1637,noHit
SMa1639,noHit
SMa1641,noHit
SMa1643,noHit
SMa1644,noHit
SMa1646,noHit
SMa1647,noHit
SMa1649,noHit
SMa1650,noHit
SMa1651,noHit
SMa1652,mll8441
SMa1653,noHit
SMa1654,mlr8446
SMa1657,noHit
SMa1658,noHit
SMa1660,noHit
SMa1662,mll6730
SMa1664,mll6731
SMa1666,noHit
arcD1,mlr6736
arcD2,noHit
arcA2,mll6733
SMa1672,mlr6724
SMa1674,noHit
SMa1675,mll6729
SMa1676,mlr6726
SMa1677,noHit
SMa1678,noHit
SMa1680,noHit
SMa1682,noHit
SMa1683,noHit
SMa1684,noHit
SMa1686,noHit
SMa1688,noHit
SMa1691,noHit
SMa1696,noHit
SMa1697,noHit
syrB1,noHit
SMa1700,noHit
SMa1702,noHit
SMa1704,noHit
SMa1705,noHit
SMa1706,noHit
SMa1711,noHit
adeC3,mlr0157
SMa1717,noHit
adeC4,noHit
SMa1720,noHit
SMa1724,noHit
SMa1725,mll3844
SMa1726,noHit
SMa1727,noHit
proX,noHit
betB2,noHit
SMa1732,noHit
SMa1734,mlr9222
SMa1735,noHit
SMa1736,noHit
SMa1737,noHit
SMa1740,noHit
SMa1741,noHit
SMa1742,noHit
SMa1745,noHit
SMa1746,noHit
SMa1747,noHit
SMa1749,noHit
SMa1750,noHit
SMa1751,noHit
SMa1753,noHit
SMa1754,mll6255
SMa1755,mlr7542
SMa1757,mll3237
SMa1759,mlr7171
SMa1760,mlr7168
SMa1761,mlr7169
SMa1765,mlr5732
SMa1766,noHit
SMa1767,noHit
SMa1769,mlr1904
SMa1770,noHit
SMa1776,noHit
SMa1779,noHit
SMa1780,noHit
SMa1782,noHit
SMa1783,noHit
SMa1784,noHit
SMa1787,noHit
cyaI4,noHit
SMa1793,mlr2839
SMa1797,noHit
kup2,noHit
SMa1799,noHit
SMa1801,noHit
SMa1803,noHit
SMa1808,noHit
SMa1809,mll2689
SMa1811,mlr2596
SMa1814,noHit
SMa1817,noHit
SMa1819,noHit
SMa1820,noHit
SMa1821,noHit
SMa1822,noHit
SMa1823,mll0489
SMa1825,noHit
SMa1828,noHit
SMa1831,noHit
SMa1832,noHit
SMa1833,noHit
SMa1835,mlr7051
argE,mll7049
SMa1838,mll7048
SMa1840,mll7047
SMa1844,mll7045
SMa1846,mll7044
gabD5,mll7043
SMa1850,mlr7042
SMa1851,mlr7041
SMa1853,mll7039
SMa1855,mll7037
SMa1857,mll7035
SMa1860,mll7034
SMa1862,mll7033
SMa1863,mll7032
SMa1864,mll7031
SMa1867,mlr7030
SMa1869,mll7029
SMa1871,noHit
SMa1872,mll4597
SMa1874,noHit
SMa1875,noHit
SMa1878,noHit
SMa1881,noHit
SMa1882,noHit
SMa1884,noHit
SMa1885,mll2830
SMa1887,mlr2831
SMa1890,noHit
SMa1891,noHit
SMa1893,noHit
SMa1894,noHit
msrA3,mll1760
SMa1898,noHit
SMa1900,noHit
SMa1902,noHit
SMa1903,noHit
mrcB,noHit
SMa1907,noHit
SMa1910,msr2235
SMa1913,mlr5309
SMa1916,noHit
SMa1917,noHit
SMa1918,msr2650
SMa1919,msr2651
SMa1921,noHit
SMa1924,noHit
SMa1927,noHit
SMa1929,noHit
SMa1933,noHit
wrbA3,noHit
SMa1937,noHit
SMa1939,mll0858
SMa1943,noHit
SMa1945,mlr8275
SMa1948,mlr2110
SMa1951,noHit
SMa1952,noHit
SMa1953,noHit
SMa1954,noHit
SMa1956,noHit
SMa1957,mlr7972
SMa1959,noHit
SMa1960,mll2592
SMa1961,mlr2444
SMa1963,mll3178
SMa1965,noHit
SMa1966,noHit
SMa1967,noHit
SMa1968,noHit
SMa1969,noHit
SMa1971,noHit
SMa1973,noHit
SMa1974,noHit
SMa1976,mll4933
SMa1978,noHit
SMa1979,noHit
SMa1985,mlr3829
SMa1987,mll3827
SMa1990,noHit
SMa1993,noHit
SMa1995,noHit
SMa1996,noHit
SMa1998,noHit
SMa2000,noHit
SMa2002,noHit
SMa2004,noHit
SMa2008,noHit
SMa2009,noHit
SMa2011,noHit
SMa2012,noHit
SMa2014,noHit
SMa2015,noHit
SMa2019,noHit
SMa2020,mlr2690
SMa2023,mll2018
SMa2025,noHit
SMa2027,noHit
SMa2029,noHit
SMa2031,noHit
SMa2032,noHit
SMa2033,mll4372
SMa2034,noHit
SMa2037,mll2287
SMa2041,mll2291
SMa2043,noHit
SMa2045,noHit
SMa2047,noHit
SMa2049,noHit
SMa2051,mlr7624
SMa2053,noHit
SMa2055,noHit
SMa2057,noHit
SMa2059,noHit
SMa2061,mlr8082
SMa2063,mlr8083
SMa2065,noHit
cysA1,noHit
cysP1,noHit
SMa2071,noHit
SMa2073,noHit
SMa2075,mlr3395
SMa2077,noHit
SMa2079,noHit
SMa2081,noHit
SMa2083,mlr3399
SMa2085,mlr3397
SMa2087,noHit
SMa2089,noHit
SMa2091,noHit
SMa2093,noHit
SMa2095,noHit
SMa2097,noHit
SMa2099,mll3416
SMa2101,noHit
SMa2103,mll2597
SMa2105,noHit
SMa2107,noHit
SMa2109,noHit
SMa2111,noHit
adhC2,noHit
gst13,noHit
SMa2117,noHit
SMa2119,noHit
SMa2121,noHit
SMa2123,noHit
SMa2125,noHit
SMa2127,noHit
SMa2129,noHit
SMa2131,noHit
SMa2133,noHit
glyA2,noHit
SMa2137,noHit
sgaA,mlr1322
purU3,noHit
metF,noHit
SMa2145,mlr3677
SMa2147,noHit
SMa2151,noHit
SMa2157,noHit
SMa2159,noHit
SMa2163,noHit
SMa2165,noHit
SMa2167,noHit
SMa2169,noHit
SMa2171,noHit
SMa2175,noHit
SMa2187,noHit
SMa2189,noHit
SMa2191,noHit
SMa2193,noHit
SMa2195,noHit
SMa2197,noHit
SMa2199,noHit
SMa2201,noHit
SMa2203,noHit
SMa2205,noHit
SMa2207,noHit
SMa2209,noHit
SMa2211,noHit
SMa2213,mll2319
SMa2215,noHit
SMa2217,noHit
SMa2219,noHit
SMa2221,noHit
SMa2223,noHit
SMa2225,mlr7028
SMa2227,noHit
SMa2229,noHit
SMa2231,noHit
SMa2233,noHit
SMa2235,noHit
SMa2237,noHit
SMa2239,mll4707
SMa2241,noHit
SMa2243,mlr4706
SMa2245,noHit
SMa2249,noHit
SMa2251,noHit
SMa2253,noHit
SMa2255,noHit
SMa2257,noHit
SMa2259,noHit
SMa2263,noHit
SMa2265,noHit
SMa2267,mlr2034
SMa2269,noHit
SMa2273,noHit
SMa2275,noHit
SMa2279,mlr9079
SMa2281,mlr9078
SMa2285,noHit
SMa2287,mll4232
SMa2289,noHit
SMa2291,noHit
SMa2293,noHit
mrcA2,noHit
SMa2295,noHit
SMa2297,noHit
SMa2299,noHit
SMa2301,noHit
SMa2303,noHit
SMa2305,noHit
SMa2307,noHit
SMa2309,noHit
SMa2311,noHit
SMa2313,mlr6441
SMa2315,noHit
SMa2317,noHit
gst14,mlr2031
uvrD2,mlr7946
SMa2323,noHit
SMa2325,mll3126
SMa2327,mll3127
kdpC,mll3129
kdpB,mll3130
kdpA,mll3133
SMa2335,noHit
rhtX,noHit
rhbA,mlr5943
rhbB,noHit
rhbC,noHit
rhbD,noHit
rhbE,noHit
rhbF,noHit
rhrA,noHit
rhtA,noHit
SMa2339,noHit
SMa2341,noHit
SMa2343,noHit
SMa2347,noHit
SMa2349,noHit
SMa2351,noHit
SMa2353,noHit
SMa2355,mll9709
cyaO,noHit
SMa2359,noHit
SMa2361,mll4178
SMa2363,mlr4825
SMa2365,mll4176
SMa2367,mll4175
SMa2369,mll4174
codA,mlr5363
SMa2373,noHit
SMa2375,noHit
SMa2377,noHit
katB,mlr6940
SMa2381,noHit
SMa2383,noHit
SMa2385,noHit
SMa2387,noHit
SMa2389,mll6679
repC2,mll9351
repB2,noHit
repA2,noHit
SMa5000,noHit
SMa5014,noHit
SMa5015,noHit
SMa5001,noHit
SMa5002,noHit
SMa5016,noHit
SMa5017,noHit
SMa5018,noHit
SMa5019,noHit
SMa5020,noHit
SMa5021,noHit
SMa5022,noHit
SMa5023,noHit
SMa5024,noHit
SMa5025,noHit
SMa5026,noHit
SMa5027,noHit
SMa5003,noHit
SMa5028,noHit
SMa5036,noHit
SMa5004,noHit
SMa5029,noHit
SMa5005,noHit
SMa5006,noHit
SMa5007,noHit
SMa5030,mll3386
SMa5008,noHit
SMa5031,noHit
SMa5009,noHit
SMa5038,noHit
SMa5010,noHit
SMa5033,noHit
SMa5032,noHit
SMa5011,mll2289
SMa5035,noHit
SMa5012,noHit
SMa5013,noHit
SMa5034,noHit
