Locus,Rhizobium_etli_CFN_42,Brucella_abortus_C68,Ensifer_adhaerens_OV14,Bradyrhizobium_diazoefficiens_USDA_110,Sinorhizobium_fredii_NGR234,Sinorhizobium_meliloti_Rm1021,Liberibacter_crescens_BT-0,Sinorhizobium_medicae_WSM419,Rhizobium_leguminosarum_bv_viciae_3841,Agrobacterium_fabrum_C58,Mesorhizobium_loti_MAFF303099,Locus,,,,,SMc02793,SMc02793
SMc02836,RHE_CH00171,DK53_2192,msbA,blr5932,msbA,SMc02836,RL73_05105,Smed_3370,RL0181,Atu4600,mlr4641,SMc02836,,,,,dapB,SMc02837
dapB,dapB1,dapB,dapB,dapB,dapB,dapB,noHit,Smed_3371,dapB1,dapB,mlr4642,SMc02837,,,,,gpmA,SMc02838
gpmA,gpmA,gpm1,gpmA,blr0686,gpmA,gpmA,RL73_03565,Smed_3372,gpmA,noHit,mlr4643,SMc02838,,,,,TRm5C,SMc02937
TRm5C,noHit,noHit,noHit,noHit,noHit,TRm5C,noHit,noHit,noHit,noHit,noHit,SMc02937,,,,,TRm3,SMc02839
TRm3,noHit,noHit,noHit,noHit,NGR_a01970,TRm3,noHit,Smed_6034,pRL70121,noHit,noHit,SMc02839,,,,,TRm5N,SMc02840
TRm5N,noHit,noHit,noHit,noHit,noHit,TRm5N,noHit,noHit,noHit,noHit,noHit,SMc02840,,,,,SMc02841,SMc02841
SMc02841,RHE_CH03669,noHit,OV14_1002,bll0687,NGR_c34900,SMc02841,noHit,Smed_3373,RL4205,ada,mlr3180,SMc02841,,,,,SMc02842,SMc02842
SMc02842,RHE_CH03670,DK53_175,OV14_1003,bll0688,NGR_c34910,SMc02842,noHit,Smed_3374,RL4206,Atu4458,mlr3177,SMc02842,,,,,nth,SMc02843
nth,nth,nth,OV14_1004,blr0689,NGR_c34920,nth,RL73_02035,Smed_3375,RL4207,Atu4457,mll3176,SMc02843,,,,,SMc02844,SMc02844
SMc02844,RHE_CH03672,noHit,OV14_1005,blr2396,NGR_c34930,SMc02844,noHit,Smed_3376,RL4208,noHit,mlr2419,SMc02844,,,,,SMc02845,SMc02845
SMc02845,RHE_CH03673,noHit,OV14_1006,noHit,NGR_c34940,SMc02845,noHit,Smed_3377,RL4209,noHit,mll2418,SMc02845,,,,,SMc02846,SMc02846
SMc02846,RHE_CH00135,DK53_178,OV14_1007,blr0804,NGR_c34950,SMc02846,noHit,Smed_3378,RL0143,Atu0079,mll5335,SMc02846,,,,,SMc02847,SMc02847
SMc02847,noHit,noHit,noHit,noHit,noHit,SMc02847,noHit,Smed_4617,RL1320A,noHit,noHit,SMc02847,,,,,SMc02848,SMc02848
SMc02848,RHE_CH00136,DK53_8,OV14_1008,blr0767,NGR_c34960,SMc02848,RL73_00460,Smed_3379,RL0144,Atu0078,mll5573,SMc02848,,,,,gyaR,SMc02849
gyaR,RHE_CH00138,DK53_10,gyaR,bll0766,gyaR,gyaR,noHit,Smed_3380,gyaR1,Atu0077,mlr5574,SMc02849,,,,,polA,SMc02850
polA,polA,polA,polA,polA,polA,polA,RL73_04700,Smed_3381,polA,polA,mlr3298,SMc02850,,,,,SMc02851,SMc02851
SMc02851,RHE_CH00150,noHit,OV14_1032,noHit,NGR_c35140,SMc02851,noHit,Smed_3382,RL0159,Atu0109,mll5152,SMc02851,,,,,SMc02852,SMc02852
SMc02852,dapE1,DK53_134,OV14_1031,dapE,NGR_c35130,SMc02852,noHit,Smed_3383,RL0157,Atu0108,mll3297,SMc02852,,,,,SMc02853,SMc02853
SMc02853,noHit,DK53_1303,OV14_1028,noHit,NGR_c35120,SMc02853,noHit,Smed_3384,noHit,Atu1134,mll8344,SMc02853,,,,,SMc02854,SMc02854
SMc02854,noHit,noHit,OV14_1027,noHit,NGR_c35100,SMc02854,noHit,Smed_3385,noHit,noHit,noHit,SMc02854,,,,,SMc02855,SMc02855
SMc02855,RHE_CH01768,noHit,OV14_1026,noHit,NGR_c35090,SMc02855,noHit,Smed_3386,RL1964,Atu4011,noHit,SMc02855,,,,,SMc02856,SMc02856
SMc02856,RHE_CH00146,DK53_130,OV14_1022,pbpC,NGR_c35080,SMc02856,noHit,Smed_3388,RL0153,pbpC,mll3238,SMc02856,,,,,dnaK,SMc02857
dnaK,dnaK,dnaK,dnaK2,dnaK,dnaK2,dnaK,dnaK,Smed_3389,dnaK,dnaK,mll4757,SMc02857,,,,,dnaJ,SMc02858
dnaJ,dnaJ1,dnaJ,dnaJ1,dnaJ,dnaJ1,dnaJ,RL73_06090,Smed_3390,dnaJ,dnaJ,mll4755,SMc02858,,,,,SMc02859,SMc02859
SMc02859,noHit,noHit,OV14_1019,noHit,NGR_c35040,SMc02859,noHit,Smed_3391,noHit,noHit,mlr8147,SMc02859,,,,,SMc02860,SMc02860
SMc02860,noHit,noHit,OV14_1018,noHit,NGR_c35030,SMc02860,noHit,Smed_3392,noHit,noHit,mlr8146,SMc02860,,,,,pit,SMc02861
pit,pit,noHit,OV14_1014,blr4043,NGR_c35020,pit,noHit,Smed_3393,pit2,noHit,mlr8370,SMc02861,,,,,SMc02862,SMc02862
SMc02862,RHE_CH00947,noHit,OV14_1013,blr4042,NGR_c35010,SMc02862,noHit,Smed_3394,pitX,Atu4634,mlr8369,SMc02862,,,,,recF,SMc02863
recF,recF,recF,recF,recF,recF,recF,RL73_00445,Smed_3395,recF,Atu0073,mll5578,SMc02863,,,,,moeB,SMc02864
moeB,moeB,DK53_22,OV14_1011,moeB,NGR_c34990,moeB,RL73_00680,Smed_3396,RL0147,moeB,mll5577,SMc02864,,,,,SMc02865,SMc02865
SMc02865,RHE_CH00139,noHit,OV14_1010,noHit,NGR_c34980,SMc02865,noHit,noHit,RL0146,Atu0075,mll5576,SMc02865,,,,,SMc02866,SMc02866
SMc02866,noHit,bepR,OV14_1036,noHit,NGR_c35200,SMc02866,noHit,Smed_3397,noHit,acrR,noHit,SMc02866,,,,,SMc02867,SMc02867
SMc02867,RHE_CH03412,noHit,OV14_1037,acrB,NGR_c35210,SMc02867,RL73_05020,Smed_3398,RL2666,Atu3202,noHit,SMc02867,,,,,SMc02868,SMc02868
SMc02868,RHE_CH03411,bepD,OV14_1038,acrA,NGR_c35220,SMc02868,noHit,Smed_3399,RL2667,Atu3203,noHit,SMc02868,,,,,SMc02869,SMc02869
SMc02869,RHE_CH02894,DK53_2686,OV14_1039,noHit,NGR_c35250,SMc02869,noHit,Smed_3400,RL3355,noHit,mlr4779,SMc02869,,,,,SMc02870,SMc02870
SMc02870,RHE_CH02895,DK53_2687,OV14_1040,noHit,NGR_c35260,SMc02870,noHit,Smed_3401,RL3356,noHit,mlr4777,SMc02870,,,,,SMc02871,SMc02871
SMc02871,RHE_CH02896,DK53_2688,OV14_1041,noHit,NGR_c35270,SMc02871,noHit,Smed_3402,RL3357,noHit,mlr4774,SMc02871,,,,,SMc02872,SMc02872
SMc02872,RHE_CH02897,DK53_2689,OV14_1042,noHit,NGR_c35280,SMc02872,noHit,Smed_3403,RL3358,noHit,mlr4772,SMc02872,,,,,SMc02873,SMc02873
SMc02873,RHE_CH02898,noHit,OV14_1043,noHit,NGR_c35290,SMc02873,noHit,Smed_3405,RL3359,noHit,mlr4771,SMc02873,,,,,SMc02874,SMc02874
SMc02874,noHit,noHit,OV14_1044,noHit,NGR_c35300,SMc02874,noHit,Smed_3406,noHit,noHit,mlr4770,SMc02874,,,,,SMc02875,SMc02875
SMc02875,RHE_CH02899,DK53_2692,OV14_1045,noHit,NGR_c35310,SMc02875,noHit,Smed_3407,RL3360,noHit,mll4769,SMc02875,,,,,SMc02876,SMc02876
SMc02876,RHE_CH02900,DK53_2693,OV14_1046,noHit,NGR_c35320,SMc02876,noHit,Smed_3408,RL3361,Atu2606,mll4768,SMc02876,,,,,SMc02877,SMc02877
SMc02877,glmS2,DK53_2325,OV14_1047,noHit,NGR_c35330,SMc02877,noHit,Smed_3409,RL4603,glmS,mll4767,SMc02877,,,,,nagA,SMc02878
nagA,nagA,nagA,nagA,noHit,nagA,nagA,noHit,Smed_3410,nagA,nagA,mll4766,SMc02878,,,,,cutC,SMc02879
cutC,cutC,noHit,OV14_1049,noHit,NGR_c35350,cutC,noHit,Smed_3411,cutC,cutC,mlr1122,SMc02879,,,,,SMc02880,SMc02880
SMc02880,RHE_CH03685,noHit,OV14_1050,noHit,NGR_c35360,SMc02880,noHit,Smed_3412,RL4221,Atu2609,noHit,SMc02880,,,,,SMc02881,SMc02881
SMc02881,RHE_PE00322,noHit,OV14_1051,blr2960,NGR_c35370,SMc02881,noHit,Smed_3413,pRL110427,gatA,noHit,SMc02881,,,,,SMc02882,SMc02882
SMc02882,RHE_CH03674,DK53_177,OV14_1052,bll0692,NGR_c35380,SMc02882,noHit,Smed_3414,cysZ,Atu4456,mlr5338,SMc02882,,,,,SMc02883,SMc02883
SMc02883,RHE_CH00091,DK53_2174,OV14_1053,bsl2402,NGR_c35390,SMc02883,noHit,Smed_3415,RL0100,Atu0119,msl3152,SMc02883,,,,,SMc02884,SMc02884
SMc02884,RHE_CH00187,DK53_3120,OV14_1054,noHit,NGR_c35400,SMc02884,noHit,Smed_3416,RL0196,Atu0126,mlr3148,SMc02884,,,,,msrA1,SMc02885
msrA1,noHit,msrA,msrA2,msrA,msrA2,msrA1,noHit,Smed_3417,noHit,msrA,noHit,SMc02885,,,,,SMc02886,SMc02886
SMc02886,RHE_CH00186,noHit,OV14_1056,noHit,NGR_c35420,SMc02886,noHit,Smed_3418,RL0195,Atu0124,mlr3146,SMc02886,,,,,SMc02887,SMc02887
SMc02887,noHit,noHit,noHit,noHit,noHit,SMc02887,noHit,noHit,noHit,noHit,noHit,SMc02887,,,,,SMc05001,SMc05001
SMc02888,noHit,noHit,noHit,noHit,noHit,SMc02888,noHit,noHit,noHit,noHit,noHit,SMc02888,,,,,SMc02888,SMc02888
SMc02889,noHit,noHit,noHit,noHit,noHit,SMc02889,noHit,noHit,noHit,noHit,noHit,SMc02889,,,,,SMc02889,SMc02889
SMc02890,noHit,noHit,noHit,noHit,noHit,SMc02890,noHit,noHit,noHit,noHit,noHit,SMc02890,,,,,SMc02890,SMc02890
SMc02891,noHit,noHit,noHit,noHit,noHit,SMc02891,noHit,noHit,noHit,noHit,noHit,SMc02891,,,,,SMc02891,SMc02891
SMc02892,noHit,DK53_2223,OV14_a1309,blr5151,NGR_b03450,SMc02892,noHit,noHit,RL2485,noHit,mlr1142,SMc02892,,,,,SMc02892,SMc02892
SMc02893,RHE_CH00988,noHit,OV14_a1308,noHit,NGR_b03440,SMc02893,noHit,Smed_3422,RL2486,noHit,mll1141,SMc02893,,,,,SMc02893,SMc02893
SMc02894,noHit,noHit,OV14_1064,noHit,NGR_c35470,SMc02894,noHit,Smed_3423,noHit,noHit,noHit,SMc02894,,,,,SMc02894,SMc02894
SMc02895,noHit,noHit,OV14_1065,blr7387,NGR_c35480,SMc02895,noHit,Smed_3424,RL0142,Atu0080,mll1169,SMc02895,,,,,SMc02895,SMc02895
ilvE1,ilvE2,noHit,noHit,bll7459,ilvE,ilvE1,noHit,Smed_3425,ilvE1,noHit,noHit,SMc02896,,,,,ilvE1,SMc02896
SMc02897,cycM,DK53_56,OV14_1066,cycM,NGR_c35500,SMc02897,noHit,Smed_3426,cycM,cycM,mll5495,SMc02897,,,,,SMc02897,SMc02897
kdsB,kdsB1,kdsB,kdsB,kdsB,kdsB,kdsB,RL73_00455,Smed_3427,kdsB,kdsB,mlr5497,SMc02898,,,,,kdsB,SMc02898
pheA,pheA,DK53_54,pheA,pheA,pheA,pheA,RL73_00450,Smed_3428,RL0139,pheA,mlr5498,SMc02899,,,,,pheA,SMc02899
SMc02900,noHit,DK53_2552,OV14_1069,noHit,NGR_c35530,SMc02900,noHit,Smed_3429,noHit,noHit,noHit,SMc02900,,,,,SMc02900,SMc02900
SMc02901,RHE_CH00130,noHit,OV14_1070,noHit,NGR_c35540,SMc02901,noHit,noHit,RL0138,Atu0869,mll3207,SMc02901,,,,,SMc02901,SMc02901
SMc02902,RHE_CH00129,DK53_1678,OV14_1071,blr7851,NGR_c35550,SMc02902,noHit,Smed_5970,RL0137,Atu0868,mll3208,SMc02902,,,,,SMc02902,SMc02902
SMc02903,RHE_CH00128,DK53_53,OV14_1072,blr8123,NGR_c35560,SMc02903,noHit,Smed_3430,RL0136,Atu0098,mll5500,SMc02903,,,,,SMc02903,SMc02903
SMc02904,noHit,noHit,noHit,noHit,NGR_c35570,SMc02904,noHit,noHit,RL0135,noHit,noHit,SMc02904,,,,,SMc02904,SMc02904
dnaX,dnaX,dnaX,dnaX,bll8116,dnaX,dnaX,RL73_00465,Smed_3432,dnaX,Atu0096,mlr5503,SMc02905,,,,,dnaX,SMc02905
SMc02906,RHE_CH00125,DK53_50,OV14_1075,bll8115,NGR_c35590,SMc02906,RL73_00470,Smed_3433,RL0133,Atu0095,mlr5504,SMc02906,,,,,SMc02906,SMc02906
SMc02907,noHit,DK53_2957,OV14_1077,noHit,noHit,SMc02907,noHit,Smed_3434,noHit,noHit,mll4109,SMc02907,,,,,SMc02907,SMc02907
recR,recR,recR,recA1,recR,recA1,recR,RL73_00475,Smed_3435,recR,recR,mlr5510,SMc02908,,,,,recR,SMc02908
mltB1,RHE_CH00122,DK53_48,OV14_1079,bll6684,NGR_c35610,mltB1,noHit,Smed_3436,RL0131,mltB,mlr5511,SMc02909,,,,,mltB1,SMc02909
SMc02910,RHE_CH00120,DK53_2843,OV14_1080,blr0559,NGR_c35640,SMc02910,noHit,Smed_3437,RL0129,Atu0091,mlr2945,SMc02910,,,,,SMc02910,SMc02910
SMc02911,RHE_CH00119,DK53_2075,OV14_1082,bll0786,NGR_c35650,SMc02911,RL73_00325,Smed_3438,RL0128,Atu0090,mlr5550,SMc02911,,,,,SMc02911,SMc02911
nusA,nusA,nusA,nusA,nusA,nusA,nusA,RL73_00330,Smed_3439,nusA,nusA,mlr5551,SMc02912,,,,,nusA,SMc02912
SMc02913,RHE_CH00117,DK53_2077,OV14_1084,bll0784,NGR_c35670,SMc02913,noHit,Smed_3440,RL0126,Atu0088,mlr5553,SMc02913,,,,,SMc02913,SMc02913
infB,infB,noHit,infB,infB,infB,infB,RL73_00335,Smed_3441,infB,infB,mlr5554,SMc02914,,,,,infB,SMc02914
rbfA,rbfA,rbfA,rbfA,rbfA,rbfA,rbfA,RL73_00340,Smed_3442,rbfA,rbfA,mlr5557,SMc00320,,,,,rbfA,SMc00320
truB,truB,truB,truB,truB,truB,truB,truB,Smed_3443,truB,truB,mlr5558,SMc00321,,,,,truB,SMc00321
SMc00322,RHE_CH03609,noHit,OV14_1090,noHit,NGR_c35710,SMc00322,noHit,Smed_3444,RL4132,noHit,noHit,SMc00322,,,,,SMc00322,SMc00322
rpsO,rpsO,rpsO,OV14_1093,rpsO,NGR_c35720,rpsO,RL73_00350,Smed_3445,rpsO,rpsO,msr5561,SMc00323,,,,,rpsO,SMc00323
pnp,pnp,pnp,OV14_1095,pnpA,NGR_c35730,pnp,RL73_00355,Smed_3446,pnp,pnpA,mlr5562,SMc00324,,,,,pnp,SMc00324
rsmC,RHE_CH00110,noHit,OV14_1096,noHit,NGR_c35740,rsmC,noHit,Smed_3447,RL0119,rsmC,mlr5563,SMc00325,,,,,rsmC,SMc00325
fabI2,fabI1,DK53_3,fabI2,fabI,fabI2,fabI2,RL73_00700,Smed_3448,fabI1,fabI,mll5565,SMc00326,,,,,fabI2,SMc00326
fabB,fabB,DK53_4,fabB,fabB,fabB,fabB,RL73_00705,Smed_3449,fabB,fabB,mll5566,SMc00327,,,,,fabB,SMc00327
fabA,fabA,fabA,fabA,fabA,fabA,fabA,RL73_00710,Smed_3450,fabA,fabA,mll5569,SMc00328,,,,,fabA,SMc00328
irr,irr,DK53_6,OV14_1103,irr,NGR_c35780,irr,noHit,Smed_3451,irrA,irr,mlr5570,SMc00329,,,,,irr,SMc00329
SMc00330,RHE_CH00105,DK53_179,OV14_1104,bll5340,NGR_c35790,SMc00330,noHit,Smed_3452,RL0114,Atu0154,mll3219,SMc00330,,,,,SMc00330,SMc00330
SMc00331,RHE_CH00103,DK53_1162,OV14_1105,bll4980,NGR_c35800,SMc00331,noHit,Smed_3453,RL0112,noHit,mll0674,SMc00331,,,,,SMc00331,SMc00331
SMc00332,RHE_CH00099,DK53_42,OV14_1108,noHit,NGR_c35820,SMc00332,noHit,Smed_3455,RL0109,Atu8037,mlr5215,SMc00332,,,,,SMc00332,SMc00332
aroA,noHit,aroA,noHit,aroA,aroA,aroA,RL73_00725,Smed_3456,aroA1,noHit,mll5213,SMc00333,,,,,aroA,SMc00333
cmk,cmk,cmk,OV14_1113,cmk,NGR_c35850,cmk,RL73_00730,Smed_3457,RL0107,cmk,mll5212,SMc00334,,,,,cmk,SMc00334
rpsA,rpsA,rpsA,OV14_1114,rpsA,NGR_c35860,rpsA,RL73_00735,Smed_3458,rpsA,rpsA,mll5210,SMc00335,,,,,rpsA,SMc00335
SMc00336,noHit,noHit,OV14_1115,noHit,NGR_c35880,SMc00336,noHit,Smed_3459,noHit,noHit,noHit,SMc00336,,,,,SMc00336,SMc00336
SMc00337,RHE_PB00011,noHit,OV14_1116,blr6624,NGR_c35890,SMc00337,noHit,Smed_3460,pRL90062,noHit,noHit,SMc00337,,,,,SMc00337,SMc00337
SMc00338,noHit,noHit,noHit,noHit,noHit,SMc00338,noHit,Smed_3461,noHit,noHit,noHit,SMc00338,,,,,SMc00338,SMc00338
cyaA,noHit,noHit,OV14_1124,noHit,NGR_c35920,cyaA,noHit,Smed_3462,cya1,noHit,noHit,SMc00339,,,,,cyaA,SMc00339
SMc00340,RHE_PB00144,noHit,OV14_1125,noHit,NGR_c35930,SMc00340,noHit,Smed_4248,pRL90273,noHit,mlr2095,SMc00340,,,,,SMc00340,SMc00340
SMc00341,noHit,noHit,OV14_1126,noHit,NGR_c35940,SMc00341,noHit,Smed_3463,noHit,noHit,noHit,SMc00341,,,,,SMc00341,SMc00341
rnd2,rnd1,DK53_133,OV14_1127,blr0719,NGR_c35950,rnd2,RL73_06075,Smed_3464,RL0104,rnd,mll3296,SMc00342,,,,,rnd2,SMc00342
TRm20,RHE_PA00091,noHit,noHit,noHit,noHit,TRm20,noHit,noHit,RL0792,noHit,noHit,SMc00343,,,,,TRm20,SMc00343
SMc00344,noHit,DK53_2202,OV14_3760,noHit,noHit,SMc00344,noHit,noHit,noHit,noHit,noHit,SMc00344,,,,,SMc00344,SMc00344
SMc00345,RHE_CH00244,DK53_2203,OV14_1129,noHit,NGR_c35970,SMc00345,noHit,Smed_3465,RL0250,Atu0228,mll3944,SMc00345,,,,,SMc00345,SMc00345
SMc00346,noHit,noHit,OV14_1130,noHit,NGR_c35980,SMc00346,noHit,Smed_3466,noHit,Atu0229,noHit,SMc00346,,,,,SMc00346,SMc00346
rnk,noHit,DK53_2600,noHit,noHit,noHit,rnk,noHit,Smed_3467,noHit,noHit,mll3994,SMc00347,,,,,rnk,SMc00347
SMc00348,noHit,noHit,OV14_a1626,noHit,NGR_c36050,SMc00348,noHit,noHit,noHit,noHit,msr3871,SMc00348,,,,,SMc00348,SMc00348
lepA,lepA,lepA,lepA,lepA,lepA,lepA,RL73_05430,Smed_3469,lepA,lepA,mlr4536,SMc00349,,,,,lepA,SMc00349
SMc00350,noHit,noHit,OV14_1137,noHit,NGR_c36070,SMc00350,noHit,Smed_3470,noHit,noHit,mll4007,SMc00350,,,,,SMc00350,SMc00350
SMc00351,RHE_CH00250,noHit,OV14_1138,blr1115,NGR_c36080,SMc00351,noHit,Smed_3471,RL0256,Atu0245,mll1444,SMc00351,,,,,SMc00351,SMc00351
SMc00352,RHE_CH00251,noHit,OV14_1139,noHit,NGR_c36090,SMc00352,noHit,Smed_3472,RL0257,Atu0246,mlr4804,SMc00352,,,,,SMc00352,SMc00352
exoD,noHit,noHit,exoD,noHit,exoD,exoD,noHit,Smed_3473,noHit,exoD,noHit,SMc00353,,,,,exoD,SMc00353
SMc00354,ompA,DK53_1187,OV14_1143,noHit,NGR_c36120,SMc00354,RL73_03400,Smed_3475,RL3267,ompA,mlr0220,SMc00354,,,,,SMc00354,SMc00354
kamA,kamA,noHit,OV14_1148,blr4388,NGR_c36130,kamA,RL73_03180,Smed_3476,RL4598,kamA,mll1971,SMc00355,,,,,kamA,SMc00355
genX,genX,noHit,OV14_1149,blr4387,NGR_c36140,genX,RL73_03185,Smed_3477,RL4599,poxA,mlr8260,SMc00356,,,,,genX,SMc00356
efp,efp,efp,OV14_1150,efp,NGR_c36150,efp,RL73_03190,Smed_3478,efp,chvH,mll8261,SMc00357,,,,,efp,SMc00357
cfa1,noHit,noHit,OV14_1151,noHit,NGR_c36160,cfa1,RL73_01135,Smed_3479,noHit,noHit,noHit,SMc00358,,,,,cfa1,SMc00358
SMc00359,RHE_CH00257,DK53_1630,OV14_1153,blr7895,NGR_c36170,SMc00359,noHit,Smed_3480,mbfA,Atu0251,mlr4601,SMc00359,,,,,SMc00359,SMc00359
SMc00360,RHE_CH00258,noHit,OV14_1154,noHit,NGR_c36180,SMc00360,noHit,Smed_3481,RL0264,Atu0252,mll4550,SMc00360,,,,,SMc00360,SMc00360
SMc00361,RHE_CH00259,DK53_2033,OV14_1155,blr0711,NGR_c36190,SMc00361,noHit,Smed_3482,RL0265,Atu0253,mlr5063,SMc00361,,,,,SMc00361,SMc00361
infC,infC,infC,OV14_1156,bll0710,NGR_c36200,infC,RL73_05425,Smed_3483,infC,infC,mll5061,SMc00362,,,,,infC,SMc00362
rpmI,rpmI,rpmI,OV14_1158,rpmI,NGR_c36250,rpmI,RL73_05420,Smed_3484,rpmI,rpmI,msl5059,SMc00363,,,,,rpmI,SMc00363
rplT,rplT,rplT,OV14_1159,rplT,NGR_c36260,rplT,rplT,Smed_3485,rplT,rplT,mll5057,SMc00364,,,,,rplT,SMc00364
pheS,pheS,pheS,pheS,pheS,pheS,pheS,RL73_05410,Smed_3486,pheS,pheS,mll5055,SMc00365,,,,,pheS,SMc00365
pheT,pheT,pheT,pheT,pheT,pheT,pheT,RL73_05405,Smed_3487,pheT,pheT,mll5053,SMc00366,,,,,pheT,SMc00366
SMc00367,RHE_CH00265,noHit,OV14_1164,noHit,NGR_c36300,SMc00367,noHit,Smed_3488,RL0271,Atu8168,noHit,SMc00367,,,,,SMc00367,SMc00367
SMc00368,RHE_CH00266,noHit,OV14_1165,noHit,noHit,SMc00368,noHit,Smed_3489,RL0272,noHit,noHit,SMc00368,,,,,SMc00368,SMc00368
SMc00369,noHit,noHit,noHit,noHit,noHit,SMc00369,noHit,noHit,noHit,noHit,noHit,SMc00369,,,,,SMc00369,SMc00369
SMc00370,RHE_CH00267,noHit,OV14_1166,noHit,NGR_b04810,SMc00370,noHit,Smed_3490,RL0273,Atu0261,mll5050,SMc00370,,,,,SMc00370,SMc00370
SMc00371,RHE_CH00268,noHit,OV14_b0688,blr6172,NGR_c36310,SMc00371,noHit,Smed_3491,RL0274,Atu4136,mlr3134,SMc00371,,,,,SMc00371,SMc00371
SMc00372,RHE_CH02404,noHit,OV14_3449,blr5444,NGR_c36320,SMc00372,noHit,Smed_3492,RL2727,Atu2042,mlr3115,SMc00372,,,,,SMc00372,SMc00372
SMc00373,RHE_CH00269,noHit,OV14_1167,noHit,NGR_c36330,SMc00373,noHit,Smed_3493,RL0275,noHit,noHit,SMc00373,,,,,SMc00373,SMc00373
SMc00374,RHE_CH00271,noHit,OV14_1169,noHit,NGR_c36340,SMc00374,noHit,Smed_3494,RL0277,Atu0263,mll3531,SMc00374,,,,,SMc00374,SMc00374
SMc00375,RHE_CH00272,DK53_2042,OV14_1170,noHit,NGR_c36350,SMc00375,noHit,Smed_3495,RL0278,Atu0266,mll5047,SMc00375,,,,,SMc00375,SMc00375
SMc00376,noHit,noHit,noHit,noHit,noHit,SMc00376,noHit,Smed_3496,noHit,noHit,noHit,SMc00376,,,,,SMc00376,SMc00376
SMc00377,noHit,noHit,noHit,bll5781,noHit,SMc00377,noHit,Smed_3497,RL2828,Atu0743,mll7704,SMc00377,,,,,SMc00377,SMc00377
xseA,xseA,xseA,xseA,blr7507,xseA,xseA,RL73_00305,Smed_3498,xseA,xseA,mll6896,SMc00378,,,,,xseA,SMc00378
SMc00379,RHE_CH00277,noHit,OV14_1180,noHit,NGR_c36370,SMc00379,noHit,Smed_3499,RL0283,noHit,mll1288,SMc00379,,,,,SMc00379,SMc00379
pecS,RHE_CH00278,noHit,OV14_1181,noHit,NGR_c36390,pecS,noHit,Smed_3500,RL0284,pecS,mlr3448,SMc00380,,,,,pecS,SMc00380
pecM,RHE_CH00279,noHit,OV14_1182,noHit,NGR_c36400,pecM,noHit,Smed_3501,RL0285,pecM,noHit,SMc00381,,,,,pecM,SMc00381
SMc00382,RHE_CH00280,DK53_2062,OV14_1183,bll7941,NGR_c36410,SMc00382,RL73_00300,Smed_3504,RL0286,ampS,mll7396,SMc00382,,,,,SMc00382,SMc00382
gst3,gstch1,noHit,OV14_1185,blr4332,NGR_c36420,gst3,noHit,Smed_3505,RL0287,noHit,mlr1410,SMc00383,,,,,gst3,SMc00383
SMc00384,RHE_CH00282,noHit,OV14_1186,blr1163,NGR_c36430,SMc00384,noHit,Smed_3506,RL0288,noHit,mll1407,SMc00384,,,,,SMc00384,SMc00384
SMc00385,RHE_CH00283,noHit,OV14_1188,blr2318,NGR_c36440,SMc00385,noHit,Smed_3507,RL0289,Atu0275,noHit,SMc00385,,,,,SMc00385,SMc00385
SMc00386,RHE_CH00284,DK53_404,OV14_1189,blr4035,NGR_c36450,SMc00386,noHit,Smed_3508,RL0290,Atu0276,mlr7393,SMc00386,,,,,SMc00386,SMc00386
tatA,RHE_PF00273,noHit,OV14_1191,noHit,NGR_c36470,tatA,noHit,Smed_3509,pRL100056,noHit,mll0405,SMc00387,,,,,tatA,SMc00387
SMc00388,RHE_CH00285,DK53_327,noHit,noHit,noHit,SMc00388,noHit,Smed_3510,RL0291,noHit,mlr2771,SMc00388,,,,,SMc00388,SMc00388
SMc00389,noHit,noHit,noHit,noHit,NGR_c36490,SMc00389,noHit,noHit,noHit,noHit,noHit,SMc00389,,,,,SMc00389,SMc00389
SMc00390,noHit,noHit,noHit,noHit,noHit,SMc00390,noHit,noHit,noHit,noHit,noHit,SMc00390,,,,,SMc00390,SMc00390
SMc00391,noHit,noHit,noHit,noHit,noHit,SMc00391,noHit,noHit,noHit,noHit,noHit,SMc00391,,,,,SMc00391,SMc00391
SMc00392,noHit,noHit,noHit,noHit,NGR_b00470,SMc00392,noHit,noHit,RL3053,noHit,noHit,SMc00392,,,,,SMc00392,SMc00392
SMc00393,noHit,noHit,noHit,noHit,noHit,SMc00393,noHit,noHit,noHit,noHit,noHit,SMc00393,,,,,SMc00393,SMc00393
guaA,guaA1,guaA,guaA,guaA,guaA,guaA,guaA,Smed_3517,guaA,guaA,mlr6950,SMc00394,,,,,guaA,SMc00394
pfs,pfs,DK53_2801,OV14_1204,noHit,NGR_c36530,pfs,noHit,Smed_3518,RL0316,pfs,mlr6947,SMc00395,,,,,pfs,SMc00395
SMc00396,RHE_CH00299,DK53_2802,OV14_1205,blr1346,NGR_c36540,SMc00396,noHit,Smed_3519,RL0317,Atu0283,mlr6946,SMc00396,,,,,SMc00396,SMc00396
SMc00397,noHit,noHit,OV14_1207,noHit,NGR_c36550,SMc00397,noHit,Smed_3521,noHit,noHit,noHit,SMc00397,,,,,SMc00397,SMc00397
SMc00460,RHE_CH00301,noHit,OV14_1208,noHit,NGR_c36560,SMc00460,noHit,Smed_3522,RL0319,Atu0285,mlr5529,SMc00460,,,,,SMc00460,SMc00460
corA1,noHit,DK53_574,corA,corA,corA,corA1,noHit,noHit,noHit,noHit,mlr2697,SMc00399,,,,,corA1,SMc00399
